word	concreteness	familiarity	imageability	age_of_acquisition	freq_zh	log_freq_zh	context_div_zh	freq_mn
跑车	6.25	6.0	6.0	9.823529411764707	468.0	21959.0	125.0	4
围墙	5.4	6.08	5.5	9.869565217391305	256.0	19345.0	61.0	1
滑板管	NA	NA	NA	NA	NA	NA	NA	1
体育运动员	NA	NA	NA	NA	NA	NA	NA	3
老板	5.2	5.923077	4.75	11.333333333333334	9983.0	35249.0	1619.0	1
厨房	5.5	6.32	5.45	7.045454545454546	4838.0	32103.0	1054.0	3
球手	NA	4.888889	NA	13.11111111111111	238.0	19031.0	47.0	9
物	NA	NA	NA	NA	4456.0	31746.0	975.0	1
成人	5.0	6.606061	5.5	10.826086956521738	1496.0	27007.0	362.0	1
连帽衫	NA	NA	NA	NA	NA	NA	NA	9
玩球员	NA	NA	NA	NA	NA	NA	NA	1
船帆	NA	NA	NA	NA	45.0	11761.0	12.0	3
瓶子	6.0	6.464286	6.0	6.7368421052631575	1496.0	27007.0	323.0	2
上身	4.15	5.521739	4.95	9.9375	492.0	22175.0	134.0	3
女性	5.7	6.782609	5.4	7.777777777777778	62.0	33181.0	1162.0	112
柜子	5.8	6.153846	6.1	7.125	981.0	25172.0	243.0	4
工作服	NA	NA	NA	NA	233.0	18921.0	60.0	2
麦圈	NA	NA	NA	NA	NA	NA	NA	1
沔阳	NA	NA	NA	NA	NA	NA	NA	1
阿婆	5.1	NA	5.15	NA	21.0	8451.0	5.0	1
水壶	5.95	5.952381	5.7	7.318181818181818	206.0	18388.0	53.0	20
甜点	5.8	5.77551	5.4	8.863636363636363	NA	NA	NA	42
水果盘	NA	NA	NA	NA	NA	NA	NA	2
头像	5.35	6.121212	5.4	10.777777777777779	253.0	19294.0	73.0	1
头盔冲浪者	NA	NA	NA	NA	NA	NA	NA	1
长袖	5.2	NA	6.1	NA	104.0	15441.0	29.0	3
望远镜	NA	5.826087	NA	NA	608.0	23096.0	119.0	1
生病的女人	NA	NA	NA	NA	NA	NA	NA	1
钟	NA	NA	NA	NA	742.0	3396.0	1530.0	39
着色	4.0	4.884615	4.8	13.391304347826088	57.0	12788.0	16.0	1
鹦鹉娃娃	NA	NA	NA	NA	NA	NA	NA	1
餐馆门牌	NA	NA	NA	NA	NA	NA	NA	1
老师	5.35	6.8	4.95	6.142857142857143	11563.0	35887.0	1170.0	1
速降滑雪	NA	NA	NA	NA	NA	NA	NA	1
脸	NA	NA	NA	NA	15182.0	3707.0	2608.0	18
咖啡车	NA	NA	NA	NA	NA	NA	NA	1
渡轮	5.35	4.428571	5.55	12.722222222222221	224.0	18751.0	19.0	2
大腿	6.05	6.0	5.75	6.9	867.0	24639.0	241.0	1
皮肤	5.5	6.8	5.45	8.73684211	3437.0	30618.0	767.0	1
