word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
can	4.55	NA	NA	2.0	5247.45	5.4275	8353.0	39
black man	NA	NA	NA	NA	NA	NA	NA	1
rickshaw	4.62	NA	NA	NA	0.59	1.4914	20.0	2
rope	4.93	NA	NA	2.0	22.71	3.0641	654.0	1
flowers	NA	NA	NA	NA	47.59	3.3852	1322.0	66
gyro	4.46	NA	NA	8.0	0.31	1.2304	10.0	8
metro	3.48	NA	NA	13.0	NA	NA	NA	23
dirt	4.86	5.794	6.029	2.0	25.69	3.1176	814.0	6
railroad car	NA	NA	NA	NA	NA	NA	NA	1
lantern	5.0	5.094	6.571	2.0	2.02	2.017	70.0	3
settee	NA	NA	NA	12.0	0.18	1.0	6.0	7
urinal	4.6	NA	NA	12.0	0.76	1.6021	36.0	41
boats	NA	NA	NA	NA	11.75	2.7782	338.0	8
head wrap	NA	NA	NA	NA	NA	NA	NA	2
filet	4.59	NA	NA	8.0	0.94	1.6902	39.0	3
hot pot	NA	NA	NA	NA	NA	NA	NA	1
vintage car	4.76	NA	NA	NA	NA	NA	NA	1
airliner	4.45	NA	NA	NA	0.57	1.4771	23.0	66
celery	4.8	5.645	6.647	4.0	1.86	1.9823	63.0	7
washstand	4.85	NA	NA	6.0	0.04	0.4771	2.0	3
pajamas	4.73	NA	NA	2.0	5.82	2.4742	205.0	1
speaker	4.69	6.194	5.636	2.0	6.9	2.5478	266.0	12
crib	4.86	NA	NA	2.0	6.2	2.5011	212.0	96
baby sheep	NA	NA	NA	NA	NA	NA	NA	1
tile	4.68	NA	NA	6.0	2.12	2.0374	78.0	10
ships	NA	5.233	6.63	NA	19.65	3.0013	414.0	1
gentleman	3.57	5.7	5.258	2.0	41.86	3.3296	1254.0	5
reuben	NA	NA	NA	NA	NA	NA	NA	2
beef and broccoli	NA	NA	NA	NA	NA	NA	NA	2
sandwich bread	NA	NA	NA	NA	NA	NA	NA	2
bathrobe	5.0	NA	NA	4.0	1.67	1.9345	64.0	34
skating board	NA	NA	NA	NA	NA	NA	NA	3
houseboat	4.74	NA	NA	6.0	0.78	1.6128	22.0	23
corset	4.48	NA	NA	6.0	0.88	1.6628	34.0	2
business	3.28	5.636	4.571	2.0	321.0	4.2141	5186.0	9
pews	NA	NA	NA	NA	0.14	0.9031	7.0	7
caramel	4.73	NA	NA	4.0	1.24	1.8062	46.0	8
bookcase	4.93	5.906	6.647	2.0	0.94	1.6902	34.0	191
housing	4.0	NA	NA	6.0	4.06	2.3181	162.0	2
flannel	4.43	NA	NA	4.0	1.37	1.8513	62.0	12
