word	concreteness	familiarity	imageability	age_of_acquisition	freq_en	log_freq_en	context_div_en	freq_mn
stone	4.72	5.862	6.5	2.0	40.63	3.3166	938.0	3
ski lift	5.0	NA	NA	NA	NA	NA	NA	15
grandson	4.3	NA	NA	2.0	7.98	2.6107	246.0	1
thrower	3.46	NA	NA	NA	0.47	1.3979	16.0	1
exhaust	2.96	5.636	4.879	6.0	2.14	2.0414	82.0	3
food bar	NA	NA	NA	NA	NA	NA	NA	2
horse	5.0	5.71	6.828	2.0	92.88	3.6756	1577.0	26543
maxi	NA	NA	NA	NA	0.29	1.2041	10.0	1
sectional	3.81	NA	NA	8.0	0.27	1.1761	10.0	19
jumbo jet	4.81	NA	NA	NA	NA	NA	NA	6
foot rest	NA	NA	NA	NA	NA	NA	NA	2
neck	5.0	6.56	6.581	2.0	59.51	3.4823	1961.0	5
dump truck	NA	NA	NA	NA	NA	NA	NA	42
airstrip	4.68	NA	NA	6.0	1.12	1.7634	40.0	1
pond	4.9	5.382	6.394	4.0	6.33	2.5105	207.0	1
para sail	NA	NA	NA	NA	NA	NA	NA	4
baseball	4.86	NA	NA	2.0	25.25	3.1103	640.0	2
knob	4.75	NA	NA	2.0	2.45	2.1004	99.0	1
dentist chair	NA	NA	NA	NA	NA	NA	NA	1
fruit bowl	NA	NA	NA	NA	NA	NA	NA	34
frisbee	4.7	NA	NA	6.0	NA	NA	NA	19
car hood	NA	NA	NA	NA	NA	NA	NA	28
turboprop	NA	NA	NA	NA	0.02	0.301	1.0	1
water pitcher	NA	NA	NA	NA	NA	NA	NA	3
ox	4.86	NA	NA	4.0	7.78	2.5999	179.0	8
shooter	4.14	NA	NA	NA	9.78	2.699	260.0	1
baggage	4.43	5.269	6.0	2.0	6.24	2.5038	224.0	2
sticker	4.67	NA	NA	4.0	2.78	2.1553	105.0	1
picker	3.83	NA	NA	4.0	0.61	1.5051	18.0	1
hydrant cap	NA	NA	NA	NA	NA	NA	NA	2
apron	4.87	4.615	6.613	2.0	2.67	2.1367	107.0	30
hole	4.81	NA	NA	2.0	58.22	3.4728	1755.0	1
boarder	3.52	NA	NA	8.0	0.57	1.4771	21.0	5
patient	2.5	5.794	4.618	4.0	63.65	3.5115	1460.0	11
squash	4.7	4.743	5.143	2.0	4.37	2.3502	162.0	16
dolphin	4.96	5.71	6.818	10.0	2.76	2.1523	72.0	31
dugout	4.68	NA	NA	2.0	0.9	1.6721	26.0	2185
hamster	4.86	6.0	6.629	2.0	2.14	2.0414	56.0	53
iris	4.54	NA	NA	6.0	NA	NA	NA	5
blankets	NA	NA	NA	2.0	5.1	2.4166	198.0	3
goalie	4.48	NA	NA	6.0	1.43	1.8692	34.0	50
teen	4.16	NA	NA	NA	4.1	2.3222	131.0	118
banana tree	NA	NA	NA	NA	NA	NA	NA	4
shawl	5.0	3.759	5.852	4.0	1.37	1.8513	45.0	7
sausages	NA	NA	NA	NA	2.55	2.1173	83.0	8
ski board	NA	NA	NA	NA	NA	NA	NA	2
chef hat	NA	NA	NA	NA	NA	NA	NA	6
delivery truck	NA	NA	NA	NA	NA	NA	NA	11
grassland	4.6	NA	NA	4.0	0.1	0.7782	5.0	2
spectator	4.07	NA	NA	6.0	0.9	1.6721	39.0	3
sub	3.46	NA	NA	2.0	7.65	2.5922	144.0	68
lunch	4.31	6.75	5.914	2.0	104.12	3.7252	2637.0	16
mother	4.6	6.613	6.594	2.0	479.92	4.3888	5556.0	47
toilet closet	NA	NA	NA	NA	NA	NA	NA	2
trunks	4.75	NA	NA	4.0	2.51	2.1106	100.0	2
fast food	4.39	NA	NA	NA	NA	NA	NA	3
competitor	3.23	NA	NA	6.0	1.37	1.8513	62.0	7
warplane	4.74	NA	NA	NA	0.1	0.7782	4.0	7
bathrooms	NA	NA	NA	NA	2.71	2.143	120.0	1
kitten	4.86	6.031	6.677	2.0	4.73	2.3838	157.0	217
cookie	5.0	NA	NA	2.0	16.71	2.9309	448.0	96
cake	4.81	6.484	6.686	2.0	45.06	3.3615	1197.0	9022
wheat	4.89	5.406	6.25	2.0	5.75	2.4683	203.0	11
bird	5.0	6.708	6.778	2.0	45.45	3.3653	1196.0	9708
shirtsleeve	4.64	NA	NA	NA	0.02	0.301	1.0	4
equine	NA	NA	NA	14.0	0.14	0.9031	6.0	4
boat house	NA	NA	NA	NA	NA	NA	NA	12
island	4.96	5.625	6.412	2.0	39.57	3.3051	684.0	98
frag	NA	NA	NA	NA	0.25	1.1461	7.0	2
lady	4.33	6.273	6.618	2.0	217.08	4.0442	4129.0	819
book rack	NA	NA	NA	NA	NA	NA	NA	4
horse riding	NA	NA	NA	NA	NA	NA	NA	1
stand	4.16	5.933	4.853	2.0	226.2	4.0621	4917.0	78
bald eagle	NA	NA	NA	NA	NA	NA	NA	4
machine	4.25	5.656	6.333	2.0	70.25	3.5544	1880.0	9
flock	4.67	NA	NA	2.0	4.65	2.3766	162.0	16
canopy bed	NA	NA	NA	NA	NA	NA	NA	3
ottoman	4.9	NA	NA	14.0	0.31	1.2304	15.0	61
pickup truck	4.96	NA	NA	NA	NA	NA	NA	170
breakfast table	NA	NA	NA	NA	NA	NA	NA	2
dam	4.88	NA	NA	2.0	5.75	2.4683	124.0	4
barbecue sandwich	NA	NA	NA	NA	NA	NA	NA	2
coffee mug	4.89	NA	NA	NA	NA	NA	NA	12
dinner	4.5	6.629	6.314	2.0	202.67	4.0144	3958.0	30
fridge	4.92	6.906	6.909	12.0	9.84	2.7016	392.0	27
toy motorcycle	NA	NA	NA	NA	NA	NA	NA	2
doctor	4.69	6.455	6.546	2.0	263.94	4.1291	3703.0	1
stump	4.78	NA	NA	4.0	2.45	2.1004	80.0	9
spaghetti	5.0	NA	NA	2.0	5.92	2.4814	194.0	6
star	4.69	6.324	6.588	2.0	81.35	3.618	1821.0	1
raft	5.0	NA	NA	4.0	4.71	2.382	131.0	100
comforter	4.7	NA	NA	6.0	0.39	1.3222	20.0	27
villa	4.79	NA	NA	10.0	4.39	2.3522	108.0	2
camel	4.93	4.793	6.633	2.0	5.02	2.4099	138.0	10
cupboard	4.79	NA	NA	2.0	2.49	2.1072	99.0	406
necktie	4.96	NA	NA	4.0	1.2	1.7924	43.0	235
suv	NA	NA	NA	NA	NA	NA	NA	322
ramp	4.69	NA	NA	8.0	2.88	2.1703	101.0	63
dog bowl	NA	NA	NA	NA	NA	NA	NA	2
greens	4.1	NA	NA	2.0	2.14	2.0414	71.0	12
range hood	NA	NA	NA	NA	NA	NA	NA	4
saddle	4.85	NA	NA	2.0	7.82	2.6021	265.0	2
stingray	4.9	NA	NA	10.0	NA	NA	NA	19
jacuzzi	NA	4.412	6.629	NA	NA	NA	NA	3
glazed donut	NA	NA	NA	NA	NA	NA	NA	1
kitchen sink	4.9	NA	NA	NA	NA	NA	NA	5
sari	NA	NA	NA	12.0	0.43	1.3617	4.0	12
shampoo	4.68	6.517	6.241	2.0	4.22	2.3345	148.0	6
rope bridge	NA	NA	NA	NA	NA	NA	NA	2
tennis court	4.77	NA	NA	6.0	NA	NA	NA	14
mashed potatoes	NA	NA	NA	NA	NA	NA	NA	6
leopard	5.0	5.281	6.824	2.0	5.41	2.4425	84.0	5
pool house	NA	NA	NA	NA	NA	NA	NA	2
visitor	4.25	NA	NA	2.0	8.75	2.6503	372.0	2
coral	4.4	4.933	6.147	8.0	NA	NA	NA	17
workman	4.11	NA	NA	6.0	0.78	1.6128	31.0	1
light post	NA	NA	NA	NA	NA	NA	NA	10
lift	3.89	5.807	4.886	2.0	34.14	3.241	1264.0	8
countertype	1.92	NA	NA	NA	NA	NA	NA	8
kiwi	4.86	4.667	6.765	12.0	0.78	1.6128	23.0	8
ocean liner	4.72	NA	NA	NA	NA	NA	NA	1
legs	NA	6.593	6.741	12.0	55.59	3.4527	1843.0	40
lettuce	4.97	6.375	6.794	2.0	3.39	2.2405	123.0	149
piece of pie	NA	NA	NA	NA	NA	NA	NA	2
stuffed fish	NA	NA	NA	NA	NA	NA	NA	2
schoolchild	4.76	NA	NA	NA	0.04	0.4771	1.0	1
bathroom vanity	NA	NA	NA	NA	NA	NA	NA	17
sheds	NA	NA	NA	NA	0.41	1.3424	20.0	2
sportswomen	NA	NA	NA	NA	NA	NA	NA	1
graduate	3.07	5.818	5.909	4.0	12.22	2.7952	446.0	5
casserole	4.87	NA	NA	4.0	1.67	1.9345	64.0	6
alcove	4.08	NA	NA	12.0	0.47	1.3979	12.0	4
pita bread	NA	NA	NA	NA	NA	NA	NA	1
convertible	4.46	NA	NA	6.0	3.25	2.2227	127.0	2
columns	NA	NA	NA	NA	2.76	2.1523	90.0	1
snow	4.85	6.088	6.771	2.0	31.35	3.2041	773.0	62
officer	4.8	5.514	6.086	4.0	103.24	3.7215	2026.0	8
alpaca	4.81	NA	NA	12.0	0.2	1.0414	8.0	5
paraglider	4.81	NA	NA	12.0	0.04	0.4771	2.0	12
tennis racket	4.96	NA	NA	NA	NA	NA	NA	5
softball player	NA	NA	NA	NA	NA	NA	NA	5
ferry	4.83	5.206	6.647	2.0	5.35	2.4378	128.0	68
zebras	NA	NA	NA	NA	0.51	1.4314	21.0	30
bicycle	4.89	6.333	6.667	2.0	6.61	2.5289	239.0	16
minivan	4.92	NA	NA	NA	1.59	1.9138	52.0	16
seat cushion	NA	NA	NA	NA	NA	NA	NA	1
young lady	NA	NA	NA	NA	NA	NA	NA	1
car window	NA	NA	NA	NA	NA	NA	NA	1
sportswear	4.46	NA	NA	NA	0.37	1.301	14.0	2
quad	4.07	NA	NA	NA	1.55	1.9031	53.0	2
hotdogs	NA	NA	NA	NA	0.25	1.1461	8.0	45
chalet	4.36	NA	NA	14.0	0.51	1.4314	17.0	2
partner	3.53	NA	NA	2.0	75.22	3.584	1772.0	1
teammate	4.15	NA	NA	2.0	0.9	1.6721	31.0	2
tram	NA	4.452	6.367	13.0	1.37	1.8513	40.0	93
motorcycle cop	NA	NA	NA	NA	NA	NA	NA	2
stairs	5.0	NA	NA	2.0	23.76	3.0839	846.0	12
ice cream truck	NA	NA	NA	NA	NA	NA	NA	10
zinnia	NA	NA	NA	8.0	NA	NA	NA	1
monitor	3.65	NA	NA	6.0	13.12	2.8261	472.0	3
railroad	5.0	5.333	6.606	2.0	12.43	2.8028	293.0	5
bluejay	4.97	NA	NA	4.0	NA	NA	NA	2
fire hose	4.87	NA	NA	NA	NA	NA	NA	1
water skier	NA	NA	NA	NA	NA	NA	NA	10
sound system	4.57	NA	NA	NA	NA	NA	NA	1
grasshopper	4.91	5.0	6.4	2.0	0.92	1.6812	36.0	2
tree house	4.7	NA	NA	NA	NA	NA	NA	1
service dog	NA	NA	NA	NA	NA	NA	NA	1
mango	5.0	NA	NA	12.0	1.65	1.9294	61.0	1
oven door	NA	NA	NA	NA	NA	NA	NA	3
surfboard	4.57	NA	NA	2.0	0.92	1.6812	29.0	16
kayaker	4.33	NA	NA	NA	0.02	0.301	1.0	2
plumber	4.63	4.64	5.931	2.0	4.49	2.3617	150.0	4
beanbag	4.96	NA	NA	2.0	0.51	1.4314	21.0	6
pancake	4.86	5.794	6.686	2.0	3.96	2.3075	120.0	111
barber chair	NA	NA	NA	NA	NA	NA	NA	2
hospital bed	NA	NA	NA	NA	NA	NA	NA	30
skiers	NA	NA	NA	NA	0.24	1.1139	7.0	6
teacher	4.52	6.379	5.276	2.0	55.73	3.4538	1305.0	4
water tank	4.82	NA	NA	NA	NA	NA	NA	4
groomer	4.41	NA	NA	NA	0.12	0.8451	3.0	10
drain	4.61	NA	NA	2.0	8.63	2.6444	337.0	2
lobster	4.86	5.029	6.677	2.0	7.33	2.574	201.0	6
lounge chair	4.86	NA	NA	NA	NA	NA	NA	12
chairperson	4.58	NA	NA	8.0	0.12	0.8451	6.0	1
cabinets	NA	NA	NA	NA	1.2	1.7924	55.0	216
businesswoman	4.35	NA	NA	NA	0.49	1.415	25.0	1
laptop	4.96	NA	NA	NA	3.47	2.2504	133.0	83
pasta sauce	NA	NA	NA	NA	NA	NA	NA	1
icing	4.66	5.429	6.133	4.0	1.39	1.8573	56.0	7
airplane propeller	NA	NA	NA	NA	NA	NA	NA	1
parliament	3.76	NA	NA	6.0	NA	NA	NA	6
chili	4.79	NA	NA	2.0	7.49	2.5832	202.0	3
ped sheet	NA	NA	NA	NA	NA	NA	NA	2
tub	4.64	NA	NA	4.0	12.69	2.8116	461.0	1021
sculpture	4.79	NA	NA	6.0	3.12	2.2041	103.0	17
vulture	4.73	4.212	5.939	4.0	1.76	1.959	64.0	29
paper	4.93	6.6	6.5	2.0	103.35	3.722	2626.0	5
sheep	4.9	6.0	6.867	2.0	13.43	2.8363	392.0	6332
shoe	4.97	6.485	6.794	2.0	30.39	3.1906	893.0	26
deep dish pizza	NA	NA	NA	NA	NA	NA	NA	4
cappuccino	4.79	NA	NA	NA	2.86	2.1673	105.0	1
guest	3.83	5.963	4.233	2.0	39.94	3.3092	1381.0	1
boss	3.83	5.97	5.8	2.0	124.29	3.8021	2333.0	1
toddler	4.29	5.219	6.429	6.0	0.78	1.6128	34.0	413
tents	NA	NA	NA	NA	1.92	1.9956	72.0	6
shower stall	NA	NA	NA	NA	NA	NA	NA	1
sail	4.59	5.625	5.824	2.0	13.75	2.8463	346.0	21
belt	4.9	6.185	6.344	2.0	24.35	3.0945	838.0	5
towel	4.86	6.724	6.724	2.0	14.16	2.8591	525.0	3
tugboat	4.78	NA	NA	2.0	0.45	1.3802	17.0	19
library	4.8	6.625	6.667	2.0	22.94	3.0686	687.0	2
poached egg	NA	NA	NA	NA	NA	NA	NA	1
chaise	NA	NA	NA	14.0	0.29	1.2041	14.0	6
lamp shade	NA	NA	NA	NA	NA	NA	NA	1
shed	4.55	NA	NA	6.0	10.98	2.749	412.0	134
camping	4.0	NA	NA	NA	6.18	2.4997	185.0	2
beanbag chair	NA	NA	NA	NA	NA	NA	NA	2
train tracks	NA	NA	NA	NA	NA	NA	NA	25
pocket knife	4.97	NA	NA	NA	NA	NA	NA	12
doge	NA	NA	NA	13.0	0.14	0.9031	2.0	1
orchids	NA	NA	NA	NA	2.63	2.1303	63.0	3
blackjack table	NA	NA	NA	NA	NA	NA	NA	1
pizza topping	NA	NA	NA	NA	NA	NA	NA	18
steam train	NA	NA	NA	NA	NA	NA	NA	2
seat	4.78	6.6	6.286	2.0	78.78	3.6041	2443.0	351
yogurt	4.9	NA	NA	2.0	2.27	2.0682	74.0	16
golf cart	4.81	NA	NA	NA	NA	NA	NA	1
knife	4.9	6.467	6.667	2.0	46.8	3.378	1255.0	2138
turkey	4.89	NA	NA	2.0	22.61	3.0622	572.0	103
pullover	4.32	NA	NA	8.0	0.25	1.1461	10.0	4
tux	4.96	NA	NA	12.0	3.45	2.248	124.0	10
cargo plane	NA	NA	NA	NA	NA	NA	NA	3
benches	NA	NA	NA	NA	0.59	1.4914	28.0	34
light bulb	4.97	NA	NA	NA	NA	NA	NA	1
petals	NA	NA	NA	NA	1.51	1.8921	63.0	2
tofu	4.86	NA	NA	NA	2.69	2.1399	62.0	1
nighty	NA	NA	NA	NA	NA	NA	NA	1
sandbar	4.6	NA	NA	NA	0.06	0.6021	3.0	1
hose	4.87	NA	NA	2.0	8.06	2.6149	295.0	46
street sweeper	NA	NA	NA	NA	NA	NA	NA	1
carpeting	4.21	NA	NA	6.0	0.57	1.4771	28.0	27
jumpsuit	4.82	NA	NA	NA	0.71	1.5682	31.0	3
baseball glove	4.89	NA	NA	NA	NA	NA	NA	26
juice	4.89	NA	NA	2.0	26.88	3.1374	830.0	41
photo	4.93	6.571	6.212	2.0	22.84	3.0667	774.0	1
pontoon boat	NA	NA	NA	NA	NA	NA	NA	4
lab coat	5.0	NA	NA	NA	NA	NA	NA	7
sundress	4.67	NA	NA	NA	0.08	0.699	3.0	2
pastries	NA	NA	NA	NA	0.57	1.4771	25.0	3
cucumber	4.83	NA	NA	6.0	1.98	2.0086	72.0	25
tennis player	4.69	NA	NA	NA	NA	NA	NA	2347
washbasin	4.74	NA	NA	6.0	0.02	0.301	1.0	72
plant	4.76	6.286	6.781	2.0	27.61	3.1489	831.0	43
telephone	4.96	6.515	6.559	2.0	32.37	3.218	984.0	8
horse toy	NA	NA	NA	NA	NA	NA	NA	2
top hat	4.96	NA	NA	NA	NA	NA	NA	4
soccer	4.76	NA	NA	10.0	12.55	2.8069	261.0	2
stove	4.96	5.367	6.618	2.0	7.59	2.5888	282.0	75
keeper	3.0	NA	NA	4.0	4.08	2.3201	162.0	2
apple core	NA	NA	NA	NA	NA	NA	NA	3
water closet	NA	NA	NA	12.0	NA	NA	NA	3
drinking glass	4.96	NA	NA	NA	NA	NA	NA	2
water heater	4.7	NA	NA	NA	NA	NA	NA	1
pool table	4.88	NA	NA	NA	NA	NA	NA	38
grilled cheese	NA	NA	NA	NA	NA	NA	NA	8
lawn furniture	NA	NA	NA	NA	NA	NA	NA	1
cooking pan	NA	NA	NA	NA	NA	NA	NA	1
donut hole	NA	NA	NA	NA	NA	NA	NA	2
crumb cake	NA	NA	NA	NA	NA	NA	NA	1
sailing ship	4.75	NA	NA	NA	NA	NA	NA	1
bathing tub	NA	NA	NA	NA	NA	NA	NA	9
sandwiches	NA	NA	NA	NA	9.61	2.6911	331.0	25
toy cow	NA	NA	NA	NA	NA	NA	NA	2
crane	4.68	NA	NA	4.0	NA	NA	NA	77
salad	4.97	5.897	6.444	2.0	17.02	2.939	586.0	1591
wine bucket	NA	NA	NA	NA	NA	NA	NA	1
chair	4.58	6.581	6.6	2.0	49.24	3.4	1553.0	11653
clock tower	4.73	NA	NA	NA	NA	NA	NA	50
seating area	NA	NA	NA	NA	NA	NA	NA	2
club sandwich	NA	NA	NA	10.0	NA	NA	NA	2
catamaran	NA	NA	NA	12.0	0.06	0.6021	2.0	3
steamship	4.63	NA	NA	2.0	0.47	1.3979	14.0	1
food truck	NA	NA	NA	NA	NA	NA	NA	184
snowy egret	NA	NA	NA	NA	NA	NA	NA	1
tree stump	4.59	NA	NA	NA	NA	NA	NA	2
skateboarder	4.82	NA	NA	NA	0.18	1.0	8.0	4152
poster board	NA	NA	NA	NA	NA	NA	NA	1
apartment building	4.79	NA	NA	NA	NA	NA	NA	22
scrambled eggs	NA	NA	NA	NA	NA	NA	NA	1
ballerina	4.61	NA	NA	8.0	2.31	2.0755	68.0	6
bullpen	4.6	NA	NA	NA	0.65	1.5315	26.0	3
watermelon	4.89	NA	NA	4.0	2.2	2.0531	68.0	11
dog toy	NA	NA	NA	NA	NA	NA	NA	2
bow	4.61	4.625	6.029	2.0	20.27	3.0149	609.0	26
motorcycles	NA	NA	NA	NA	1.29	1.8261	51.0	26
garage	4.96	NA	NA	2.0	27.22	3.1427	816.0	240
dude	3.93	NA	NA	8.0	99.43	3.7052	1581.0	51
rodent	4.7	NA	NA	8.0	1.8	1.9685	73.0	11
baseman	4.11	NA	NA	4.0	0.59	1.4914	25.0	7
toilet	4.97	6.824	6.657	2.0	28.9	3.1688	954.0	678
food counter	NA	NA	NA	NA	NA	NA	NA	9
carriage	4.86	4.581	6.387	2.0	7.47	2.5821	241.0	62
clydesdale	NA	NA	NA	NA	NA	NA	NA	8
sneakers	NA	NA	NA	4.0	4.57	2.3692	119.0	1
train set	4.86	NA	NA	NA	NA	NA	NA	1
moped	3.26	NA	NA	6.0	0.45	1.3802	17.0	250
gnu	NA	NA	NA	13.0	NA	NA	NA	1
crown	4.81	5.143	6.586	2.0	13.69	2.8445	363.0	3
gunman	4.48	NA	NA	4.0	2.08	2.0294	72.0	2
platform	4.48	NA	NA	4.0	6.14	2.4969	223.0	23
headpiece	4.8	NA	NA	8.0	0.31	1.2304	9.0	1
garb	4.19	NA	NA	10.0	0.31	1.2304	14.0	1
computer desk	NA	NA	NA	NA	NA	NA	NA	23
stable	3.77	NA	NA	2.0	13.2	2.8287	488.0	6
rugby player	NA	NA	NA	NA	NA	NA	NA	2
cupcake	5.0	NA	NA	4.0	3.27	2.2253	100.0	366
train caboose	NA	NA	NA	NA	NA	NA	NA	2
batsman	NA	NA	NA	NA	0.04	0.4771	1.0	1
police car	4.96	NA	NA	NA	NA	NA	NA	39
bostonian	NA	NA	NA	NA	NA	NA	NA	1
family	4.23	6.5	5.586	2.0	354.25	4.2569	5340.0	25
hanger	4.81	NA	NA	4.0	1.35	1.8451	54.0	10
dresser	4.96	4.618	5.559	6.0	3.57	2.2625	159.0	584
husband and wife	NA	NA	NA	NA	NA	NA	NA	1
horsetail	4.8	NA	NA	NA	NA	NA	NA	1
guy	4.68	NA	NA	4.0	762.61	4.5899	6594.0	463
jeans	5.0	6.571	6.571	2.0	6.61	2.5289	243.0	10
lime	4.96	5.704	6.539	4.0	3.29	2.2279	123.0	32
rails	NA	NA	NA	NA	1.04	1.7324	44.0	2
catcher	4.44	NA	NA	4.0	3.75	2.2833	92.0	621
commuter	3.03	NA	NA	8.0	0.59	1.4914	28.0	3
drawing table	NA	NA	NA	NA	NA	NA	NA	1
lot	3.7	NA	NA	2.0	569.92	4.4634	7185.0	2
telethon	3.89	NA	NA	12.0	1.04	1.7324	28.0	1
dress	4.93	6.71	6.727	2.0	87.2	3.6482	2186.0	4803
hider	NA	NA	NA	NA	NA	NA	NA	1
long boarder	NA	NA	NA	NA	NA	NA	NA	2
food tray	NA	NA	NA	NA	NA	NA	NA	3
fajita	NA	NA	NA	NA	NA	NA	NA	1
presents	NA	NA	NA	NA	19.08	2.9886	615.0	1
toucan	4.66	3.563	6.133	13.0	0.08	0.699	3.0	26
kitchen island	NA	NA	NA	NA	NA	NA	NA	44
bed	5.0	6.594	6.656	2.0	187.12	3.9797	4113.0	27730
platter	4.93	4.182	5.618	4.0	2.92	2.1761	128.0	9
zucchini	4.87	NA	NA	12.0	0.96	1.699	21.0	5
overskirt	NA	NA	NA	NA	NA	NA	NA	2
bomber	4.45	4.433	4.9	4.0	4.2	2.3324	105.0	11
water buffalo	NA	NA	NA	6.0	NA	NA	NA	4
squeezer	4.21	NA	NA	4.0	0.14	0.9031	6.0	1
shelves	NA	NA	NA	2.0	2.75	2.1492	110.0	67
parent	4.56	NA	NA	2.0	13.14	2.8267	475.0	8
lotion	4.79	NA	NA	2.0	3.25	2.2227	132.0	2
wine glasses	NA	NA	NA	NA	NA	NA	NA	5
wooden stool	NA	NA	NA	NA	NA	NA	NA	1
sheep shearer	NA	NA	NA	NA	NA	NA	NA	2
pavilion	4.59	NA	NA	8.0	NA	NA	NA	16
sea bird	NA	NA	NA	NA	NA	NA	NA	6
mouth	4.74	6.478	6.69	2.0	104.41	3.7264	3022.0	2
referee	4.43	NA	NA	4.0	3.59	2.2648	106.0	1
bathtub	4.92	NA	NA	2.0	6.1	2.4942	224.0	1548
groomsman	4.45	NA	NA	NA	0.27	1.1761	4.0	3
hair stylist	NA	NA	NA	NA	NA	NA	NA	1
gal	4.52	NA	NA	2.0	14.22	2.8609	429.0	1
male child	NA	NA	NA	NA	NA	NA	NA	14
tool	4.6	6.029	6.177	4.0	10.75	2.7396	369.0	1
locomotive	4.82	NA	NA	4.0	0.8	1.6232	34.0	115
skillet	4.73	NA	NA	4.0	1.22	1.7993	32.0	53
gerbil	4.71	5.594	6.625	8.0	0.75	1.5911	29.0	11
television stand	NA	NA	NA	NA	NA	NA	NA	4
swim trunks	NA	NA	NA	NA	NA	NA	NA	4
sink cabinet	NA	NA	NA	NA	NA	NA	NA	2
weapon	4.76	6.067	6.156	4.0	46.65	3.3766	1232.0	1
cardinal	4.74	NA	NA	4.0	NA	NA	NA	4
motorcyclist	4.79	NA	NA	NA	0.25	1.1461	9.0	17
frying pan	4.77	NA	NA	NA	NA	NA	NA	21
panel truck	NA	NA	NA	NA	NA	NA	NA	1
dress suit	NA	NA	NA	6.0	NA	NA	NA	1
tourists	NA	NA	NA	NA	5.41	2.4425	219.0	1
loaf	4.79	5.692	6.323	2.0	4.47	2.3598	162.0	2
chair cushion	NA	NA	NA	NA	NA	NA	NA	2
doggo	NA	NA	NA	NA	NA	NA	NA	1
orange	4.66	6.269	6.615	2.0	22.31	3.0565	684.0	17
keyboard	4.93	6.485	6.75	6.0	1.8	1.9685	66.0	79
curio cabinet	NA	NA	NA	NA	NA	NA	NA	3
white rice	NA	NA	NA	NA	NA	NA	NA	1
ballgirl	NA	NA	NA	NA	NA	NA	NA	1
amtrak	NA	NA	NA	NA	NA	NA	NA	3
hutch	4.31	NA	NA	12.0	NA	NA	NA	51
bathmat	4.81	NA	NA	NA	0.25	1.1461	4.0	6
goose	4.81	5.625	6.314	2.0	13.04	2.8235	376.0	169
asparagus	4.96	NA	NA	6.0	0.98	1.7076	42.0	2
tolly	NA	NA	NA	NA	NA	NA	NA	28
grazer	3.46	NA	NA	NA	NA	NA	NA	1
egg benedict	NA	NA	NA	NA	NA	NA	NA	2
closet	4.83	NA	NA	2.0	27.08	3.1405	886.0	57
grandmother	4.65	6.781	6.8	2.0	27.78	3.1517	754.0	5
recorder	4.43	NA	NA	2.0	4.94	2.4031	178.0	1
horse statue	NA	NA	NA	NA	NA	NA	NA	7
bent	3.62	NA	NA	2.0	7.22	2.567	301.0	2
baseball mitt	NA	NA	NA	NA	NA	NA	NA	11
youngster	3.76	NA	NA	2.0	1.45	1.8751	60.0	2
flannel shirt	NA	NA	NA	NA	NA	NA	NA	3
light	4.21	6.52	5.688	2.0	165.2	3.9256	3924.0	99
card reader	NA	NA	NA	NA	NA	NA	NA	2
collar	4.64	5.385	6.071	2.0	10.51	2.73	392.0	28
salesman	4.81	NA	NA	4.0	10.43	2.7267	374.0	1
lover	3.68	6.273	5.0	2.0	26.63	3.1332	886.0	1
owner	3.78	6.03	4.364	2.0	23.24	3.0741	850.0	2
wind surfer	NA	NA	NA	NA	NA	NA	NA	12
feet	NA	6.492	6.667	2.0	120.73	3.7894	3256.0	3
plate	4.77	6.808	6.667	2.0	25.65	3.1169	925.0	448
nose	4.89	6.4	6.828	2.0	69.75	3.5512	2125.0	2
smart car	NA	NA	NA	NA	NA	NA	NA	4
curter	NA	NA	NA	NA	NA	NA	NA	3
cos player	NA	NA	NA	NA	NA	NA	NA	2
dad	4.29	NA	NA	2.0	NA	NA	NA	18
eye wear	NA	NA	NA	NA	NA	NA	NA	2
vegetables	NA	NA	NA	NA	6.63	2.5302	266.0	171
train door	NA	NA	NA	NA	NA	NA	NA	2
decoration	3.53	5.286	5.29	10.0	1.84	1.9777	87.0	3
bartender	4.82	NA	NA	2.0	9.76	2.6981	319.0	4
garden chair	NA	NA	NA	NA	NA	NA	NA	8
husband	4.11	6.212	5.853	2.0	194.8	3.9972	3377.0	4
broccoli	4.87	6.125	6.778	8.0	2.27	2.0682	68.0	263
pizza server	NA	NA	NA	NA	NA	NA	NA	3
elevated railway	NA	NA	NA	NA	NA	NA	NA	1
canister	4.93	NA	NA	8.0	1.43	1.8692	35.0	18
wooden bench	NA	NA	NA	NA	NA	NA	NA	2
home plate	4.92	NA	NA	4.0	NA	NA	NA	1
architecture	3.59	NA	NA	4.0	3.18	2.2122	119.0	1
chairlift	4.52	NA	NA	NA	0.06	0.6021	2.0	1
waffle	4.71	NA	NA	2.0	2.12	2.0374	71.0	69
boys	NA	NA	NA	NA	224.16	4.0582	3747.0	9
piece of furniture	NA	NA	NA	NA	NA	NA	NA	1
dental chair	NA	NA	NA	NA	NA	NA	NA	1
tennis ball	5.0	NA	NA	NA	NA	NA	NA	1
workspace	4.25	NA	NA	NA	0.27	1.1761	11.0	2
chine	NA	NA	NA	NA	0.08	0.699	4.0	1
brush	4.54	6.107	6.207	2.0	14.16	2.8591	584.0	5
path	4.41	6.364	6.294	2.0	24.55	3.098	870.0	11
ski pole	4.86	NA	NA	NA	NA	NA	NA	2
brat	3.62	NA	NA	2.0	6.22	2.5024	228.0	3
