word,concreteness,imageability,familiarity,age_of_acquisition,freq_zh,log_freq_zh,freq_mn
蛋,NA,NA,NA,NA,7703,34123,5
煎蛋卷,NA,NA,NA,NA,NA,NA,1
比萨人,NA,NA,NA,NA,NA,NA,1
披萨,NA,NA,NA,NA,551,22672,341
菜肴,NA,NA,NA,NA,51,12304,7
滑板场地,NA,NA,NA,NA,NA,NA,1
萨其马,NA,NA,NA,NA,3,0,1
哭泣的小朋友,NA,NA,NA,NA,NA,NA,1
号码,1.913043,6.385 ,6.909 ,3.300 ,9348,34964,1
鸟类动物,NA,NA,NA,NA,NA,NA,1
米粉,1.2,NA,NA,NA,24,9031,1
野营,NA,NA,NA,NA,584,22923,1
吃披萨,NA,NA,NA,NA,NA,NA,1
餐点,NA,NA,NA,NA,NA,NA,1
旅行照,NA,NA,NA,NA,NA,NA,1
游客,NA,NA,NA,NA,701,23711,8
火车轨,NA,NA,NA,NA,NA,NA,2
寿星,NA,NA,NA,NA,167,17482,1
提防,NA,NA,NA,NA,286,19823,1
垃圾桶,NA,NA,NA,NA,745,23979,7
桶子,NA,NA,NA,NA,NA,NA,2
贝果,NA,NA,NA,NA,NA,NA,12
肉丸子,NA,NA,NA,NA,NA,NA,1
饭,NA,NA,NA,NA,5404,32584,11
盖,NA,NA,NA,NA,6,301,1
餐车,NA,NA,NA,NA,14,16721,6
白菜,NA,3.786 ,6.286 ,1.833 ,78,1415,2
沙皮狗,NA,NA,NA,NA,NA,NA,1
汤匙,1.423077,NA,NA,NA,137,16628,1
餐巾,NA,NA,NA,NA,283,19777,1
帽,NA,NA,NA,NA,1374,26637,1
椅,NA,NA,NA,NA,388,21139,1
桌面,1.875,NA,NA,NA,17,17559,34
大众车,NA,NA,NA,NA,NA,NA,1
棚顶,NA,NA,NA,NA,NA,NA,3
咖啡馆,NA,NA,NA,NA,554,22695,2
黑熊,NA,NA,NA,NA,6,1301,3
滑雪板,NA,NA,NA,NA,95,15051,8
鸢尾花,NA,NA,NA,NA,NA,NA,1
人狗,NA,NA,NA,NA,NA,NA,1
玩具飞机,NA,NA,NA,NA,NA,NA,1
涂鸦,2.807692,NA,NA,NA,435,21644,1
笔记本鼠标,NA,NA,NA,NA,NA,NA,1
倒后镜,NA,NA,NA,NA,NA,NA,1
工作站,NA,NA,NA,NA,125,16232,1
花洒,NA,NA,NA,NA,NA,NA,1
生日庆典,NA,NA,NA,NA,NA,NA,1
包菜,NA,NA,NA,NA,NA,NA,7
易拉罐,NA,NA,NA,NA,98,15185,4
花卉,1.689655,NA,NA,NA,66,13424,2
卧室,NA,5.417 ,6.136 ,1.583 ,2999,30026,5
机翼,NA,NA,NA,NA,134,16532,1
饼干,1.413793,5.083 ,6.364 ,1.538 ,3172,30269,41
棉条,NA,NA,NA,NA,NA,NA,1
篮球员,NA,NA,NA,NA,NA,NA,2
